imdb_title,tconst,mean_pooled,sd_pooled,skew_pooled,mean_males,sd_males,skew_males,men_all_count,mean_females,sd_females,skew_females,women_all_count,bom_total_gross,FLead,kim_violence_gore,kim_sex_nudity,kim_language,major,bom_studio,bom_opening_theaters,genres_count,bom_year,bom_open_month,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci_Fi,genre_Short,genre_Sport,genre_Thriller,genre_War,genre_Western,Rtail,Ltail,tickets_sold_est,log_bom_opening_theaters
Singles,tt0105415,6.87567995252695,1.70059289399925,-0.499007606284333,6.79027695546346,1.66621622510914,-0.545141245986746,15201,7.13423620792671,1.77597539531168,-0.456611198569499,5021,18471850,1,1,5,5,1,WB,1073,3,1992,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.324300267035901,0.0344179606369301,4451048.19277108,6.9782137426306985
Sister Act,tt0105417,6.51691807251969,1.81351384273316,-0.277689737167799,6.25964657577751,1.79635666456134,-0.282750264306069,44083,7.12565079705867,1.70539309811948,-0.262188446377222,18631,139605150,1,2,1,0,1,BV,1430,3,1992,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256577478712887,0.0525560480913353,33639795.1807229,7.265429723253953
Sleepwalkers,tt0105428,5.36516741295195,2.08563372048304,0.139546420966705,5.28077297823969,2.02932394337965,0.134729383658798,12316,5.75783906309029,2.28966051867826,0.044760203834303,2647,30524763,0,7,6,3,0,Col.,1864,1,1992,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.132460068168148,0.170420370246608,7355364.57831325,7.530479995245536
Sneakers,tt0105435,7.24991341876016,1.54921192993833,-0.654481137895225,7.22000243635035,1.52766182256539,-0.652836448742941,32836,7.45883854499043,1.67746549309441,-0.737997632653773,4701,51432691,0,4,2,3,1,Uni.,1731,3,1992,9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4194261661827,0.020566374510483,12393419.5180723,7.456454555176209
Stay Tuned,tt0105466,6.31434989429175,1.93631804052119,-0.169803669537848,6.28087129927903,1.89776780792875,-0.151977553435734,6519,6.52240228789323,2.14985432362734,-0.310140550321359,1049,10736401,0,3,1,2,1,WB,1605,3,1992,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236390063424947,0.0730708245243129,2587084.57831325,7.380879035564116
Thunderheart,tt0105585,7.0576406172225,1.69573298684288,-0.370458125178147,6.94547167589212,1.64233427867587,-0.354701769261613,8491,7.67052767052767,1.84584777363121,-0.733881385086101,1554,22660758,0,4,0,5,0,TriS,1035,3,1992,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.371030363364858,0.0258835241413639,5460423.61445783,6.942156705699469
Toys,tt0105629,5.30889916583827,2.21008566199923,0.161876976738046,5.21171846718726,2.16474966561434,0.175959139137446,19337,5.80342105263158,2.36697442308438,0.0062294659854392,3800,23278931,0,3,1,1,1,Fox,1272,3,1992,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152439815014911,0.1971301378744,5609380.96385542,7.148345743900068
Twin Peaks: Fire Walk with Me,tt0105665,7.33189271435277,1.89126575002449,-0.863404362011839,7.30501123375989,1.88265559456139,-0.853367323845779,51185,7.46177081366811,1.92714017918494,-0.924401654155805,10594,4160851,1,5,6,5,0,NL,691,3,1992,8,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.486832095048479,0.0436879845902329,1002614.69879518,6.53813982376767
Under Siege,tt0105690,6.55507499128008,1.74165060148564,-0.466398150055114,6.56774277435174,1.71905195740139,-0.462664270601296,53836,6.36044520547945,2.04835616438095,-0.404793782706243,3504,83563139,0,8,5,6,1,WB,2042,2,1992,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.253051970701081,0.0510987094523893,20135696.1445783,7.621684998724611
Unforgiven,tt0105695,8.18351319387981,1.50040389709668,-1.55185834722521,8.23246938399558,1.44193167519191,-1.48956375391999,249706,7.5978729519977,1.98439928906712,-1.4153893738116,20874,101157447,0,6,3,5,1,WB,2071,2,1992,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.751389607509794,0.0157920023652894,24375288.4337349,7.635786861395585
Universal Soldier,tt0105698,6.16938195378408,1.89067777950094,-0.165954435633984,6.16365383362648,1.87083714879524,-0.160204532164014,61404,6.25670307845084,2.16918900350413,-0.249277516002662,4028,36299898,0,8,3,6,0,TriS,1916,2,1992,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.199932754615479,0.0772099278640421,8746963.37349397,7.557994958530806
White Men Can't Jump,tt0105812,6.85800620387207,1.58743764385094,-0.457027429985869,6.89514457807991,1.55608848952595,-0.425067408133045,51633,6.42815512216992,1.8602656469647,-0.471159886677503,4461,76253806,0,2,6,9,1,Fox,1923,3,1992,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29939030912397,0.0282561414768068,18374411.0843373,7.56164174558878
Lorenzo's Oil,tt0104756,7.39561437654081,1.62618917817909,-0.766780279693213,7.30554829718666,1.60509143566736,-0.774747307246016,11481,7.65853038393084,1.65872690656551,-0.816182023007314,3933,7286388,0,2,0,1,1,Uni.,3,1,1993,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470286752303101,0.0236797716361749,1759997.10144928,1.0986122886681098
Strictly Ballroom,tt0105488,7.41751052451929,1.93747768484916,-0.980223291496274,7.07243684992571,1.96844002461256,-0.940268090337681,10768,7.96314243759178,1.75415704363662,-1.08444169654247,6810,11738022,0,1,2,0,0,Mira.,9,3,1993,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.520650813516896,0.0456252133348504,2835271.01449275,2.1972245773362196
Addams Family Values,tt0106220,6.8568587775607,1.69519284298262,-0.213022867786005,6.645477374563,1.63984529802816,-0.217684764940347,40618,7.37067624177139,1.71752994511382,-0.343707127806307,16710,48919043,1,4,2,1,1,Par.,2577,2,1993,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31009279933017,0.0292178342171365,11816193.9613527,7.854381210652365
The Adventures of Huck Finn,tt0106223,6.38649376894577,1.82841517115554,-0.137236474776988,6.21092321755027,1.75911132565451,-0.179032207162945,4376,6.87836107554417,1.92706350117848,-0.205920590350536,1562,24103594,0,5,0,2,1,BV,1786,3,1993,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223307510946447,0.0533849781071068,5822124.15458937,7.487733761436444
