imdb_title,tconst,mean_pooled,sd_pooled,skew_pooled,mean_males,sd_males,skew_males,men_all_count,mean_females,sd_females,skew_females,women_all_count,bom_total_gross,FLead,kim_violence_gore,kim_sex_nudity,kim_language,major,bom_studio,bom_opening_theaters,genres_count,bom_year,bom_open_month,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci_Fi,genre_Short,genre_Sport,genre_Thriller,genre_War,genre_Western,Rtail,Ltail,tickets_sold_est,log_bom_opening_theaters
Enchanted April,tt0101811,7.62462392964592,1.79409654439823,-0.818359654102162,7.34059097978227,1.78454865058731,-0.837489816206242,2572,8.0423098913665,1.72557639162033,-0.867162128899068,1749,13200170,0,0,1,0,0,Mira.,5,1,1992,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53992131451053,0.0298542004165702,3180763.85542169,1.6094379124341003
Night on Earth,tt0102536,7.82293210251427,1.5504845482778,-1.21396583664732,7.78430719883802,1.55147843263049,-1.21196265636365,33047,7.98016752894802,1.53653734784843,-1.24092765589869,8118,2015810,1,0,3,6,0,FL,2,2,1992,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648730717842828,0.0192153528482935,485737.34939759,0.6931471805599453
1492: Conquest of Paradise,tt0103594,6.56142002919158,1.76327151943846,-0.525543426819145,6.56583979328165,1.73947400456776,-0.518449749367672,19350,6.51614610905241,1.99067709816266,-0.547039130148417,1889,7191399,0,9,3,1,1,Par.,1008,3,1992,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256556335044023,0.0504731861198738,1732867.22891566,6.915723448631314
3 Ninjas,tt0103596,5.62248867912494,2.40322993647107,0.122817149875092,5.47372717826926,2.35511983395324,0.152735041905079,13474,6.53151927437642,2.49309931553281,-0.169016152857481,2205,29000301,0,3,0,0,1,BV,1912,3,1992,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199438739715543,0.183621404426303,6988024.3373494,7.555905093611346
Alien³,tt0103644,6.2823113368162,1.9496531709639,-0.665650335079455,6.3411628046486,1.86761724148111,-0.660929222070763,183367,5.79645220836523,2.47427794472895,-0.406836794792205,22211,55473545,1,8,2,7,1,Fox,2227,3,1992,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.226293669556081,0.0939156913677534,13367119.2771084,7.708410667257367
Basic Instinct,tt0103772,7.00685384240097,1.60000410737326,-0.668774220150617,7.02360981960201,1.5673329439508,-0.665202262455061,107540,6.9146453791833,1.76623205911117,-0.641678204327229,19542,117727224,0,8,10,9,0,TriS,1567,3,1992,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.354102075825058,0.0290678459577281,28368005.7831325,7.356918242356021
Batman Returns,tt0103776,7.0976752621028,1.64750526399487,-0.611716906539587,7.07060919292433,1.63037362678232,-0.608911251554273,176266,7.26955362611233,1.74263938801352,-0.670653976246455,27757,162831698,0,4,2,2,1,WB,2644,3,1992,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377026119604162,0.029060449067017,39236553.7349398,7.880048200971577
Beethoven,tt0103786,5.76194406974169,1.83559182061163,0.0992104569988109,5.57929277545482,1.74718264208401,0.0515489308671238,36113,6.24852463853644,1.97176155670532,0.0258218398505494,13556,57114049,0,2,1,0,1,Uni.,1688,3,1992,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137188185789929,0.0939620286295275,13762421.4457831,7.431299675155903
The Bodyguard,tt0103855,6.37349506858633,1.86932324975702,-0.298877758329082,6.20152657544448,1.82562077838641,-0.331754295665608,64458,6.84018187942068,1.90648417920864,-0.329409338195391,23752,121945720,0,3,3,5,1,WB,1717,3,1992,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.239281260628047,0.0658428749574878,29384510.8433735,7.448333860897476
Bram Stoker's Dracula,tt0103874,7.52447706474166,1.72027176145546,-0.947664619105765,7.47321468880642,1.67734147215625,-0.942401024573645,110751,7.71376654552729,1.85809316123563,-1.0266389450031,29993,82522790,0,7,7,0,0,Col.,2491,1,1992,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.545444210765646,0.0290243278576707,19885009.6385542,7.820439515262181
Buffy the Vampire Slayer,tt0103893,5.77481552011426,2.03244134110003,-0.0366971064673455,5.58206214689266,1.92313039432637,-0.0682472464113489,21240,6.27611117913555,2.21539072690781,-0.163031002555048,8167,16624456,1,7,3,0,1,Fox,1959,3,1992,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167647158839732,0.121467677763798,4005893.01204819,7.580189417944541
Candyman,tt0103919,6.67281105990783,1.79261997064416,-0.45548192561637,6.6791095228897,1.7542853177165,-0.445664399494891,41416,6.64359318996416,1.96051288975905,-0.473342287371212,8928,25792310,1,9,4,4,0,TriS,1251,2,1992,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.295089782297791,0.0490425870014302,6215014.45783133,7.1316985104669115
Captain Ron,tt0103924,6.04205397781909,2.07890898895093,-0.0144844332582744,5.9986001620865,2.04277448612666,-0.0031387853538501,13573,6.33316880552814,2.28577037355602,-0.14766353939181,2026,22518097,0,3,4,5,1,BV,1414,2,1992,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218603756651067,0.100391050708379,5426047.46987952,7.254177846456518
Chaplin,tt0103939,7.66067632850242,1.46600223936737,-0.856332951604929,7.58884964834435,1.43952302771944,-0.8592777473467,33129,7.94837383629549,1.53432928002837,-0.969912996863968,8271,9493259,0,0,3,2,0,TriS,5,3,1992,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567487922705314,0.0138164251207729,2287532.28915663,1.6094379124341003
The Cutting Edge,tt0104040,7.22463240646382,1.88349583350391,-0.517618314416123,6.87455373630432,1.87556673721022,-0.444240821224941,8123,7.73107747105966,1.77692162956321,-0.666982997004976,5615,25105517,0,1,2,1,1,MGM,775,3,1992,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.42735478235551,0.0353035376328432,6049522.1686747,6.652863029353347
Death Becomes Her,tt0104070,6.66055854338107,1.80755334771944,-0.311359195349783,6.4977610439932,1.76054037376594,-0.290270638944112,54713,7.0572777480848,1.85854897794346,-0.456993728840537,22452,58422650,1,4,2,2,1,Uni.,1409,3,1992,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.286528866714184,0.0479232812803732,14077746.9879518,7.25063551189868
The Distinguished Gentleman,tt0104114,5.97794248973031,1.68703274042466,-0.153071854526099,5.97524314765694,1.664411428447,-0.142023620310439,10179,6.00490677134446,1.89896452658422,-0.234030014289333,1019,46666502,0,2,3,4,1,BV,1933,2,1992,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143775674227541,0.0667976424361493,11244940.2409639,7.566828479208331
Encino Man,tt0104187,6.01073754620665,2.07690580134515,-0.0577651277567197,5.86343319909723,2.02551168715805,-0.0513005881801214,22597,6.58384986225895,2.17295734092732,-0.205785550986693,5808,40693477,0,1,3,1,1,BV,2050,1,1992,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205315965499032,0.105263157894737,9805657.10843373,7.6255950721324535
Far and Away,tt0104231,6.69004271649496,1.76496829064436,-0.517968128668975,6.59717810896653,1.71688883551974,-0.562406949989136,32744,6.9656485090184,1.87368471597453,-0.507193719488534,11033,58883840,0,3,3,1,1,Uni.,1583,3,1992,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.291637161066313,0.0467597140050712,14188877.1084337,7.367077059881012
Damage,tt0104237,6.95152678124479,1.87580241898032,-0.663135675380739,6.84238741958542,1.84482229564999,-0.68455305863551,8394,7.206570155902,1.92252654360512,-0.675236054437333,3592,7532911,0,2,7,5,0,NL,4,2,1992,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.376188887034874,0.0491406641081262,1815159.27710843,1.3862943611198906
A Few Good Men,tt0104257,7.74428318870388,1.37597424713617,-0.956750728138867,7.74488738799343,1.35279738912057,-0.952872204139248,148652,7.74060735041336,1.50935322337241,-0.959527505180627,24434,141340178,0,3,3,7,0,Col.,1925,2,1992,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.609904902765099,0.0113758478444242,34057874.2168675,7.562681246721884
Forever Young,tt0104291,6.39232128417837,1.63693691970809,-0.221026129663789,6.31434369245801,1.59173356640904,-0.253883557839458,26611,6.69837758112094,1.77067714706476,-0.240456359980853,6780,55956187,0,3,2,2,1,WB,1710,3,1992,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.199095564673116,0.0419574136743434,13483418.5542169,7.444248649496705
Glengarry Glen Ross,tt0104348,7.80841076200894,1.5965786926982,-1.16826979427954,7.84390987428882,1.56296402281813,-1.14721110542556,66263,7.41333557272422,1.88720132342298,-1.12111954851171,5954,10725228,0,1,0,9,0,NL,416,3,1992,10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.639544705540247,0.0210615229101181,2584392.28915663,6.030685260261263
Hellraiser III: Hell on Earth,tt0104409,5.67484722561721,1.9979750296501,0.0883072112505032,5.64325129676636,1.9728668228132,0.0986303038153174,18122,5.92027432490356,2.16802459118262,-0.031006512458073,2333,12534961,1,8,5,6,0,Mira.,862,1,1992,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.155072109508678,0.122610608653141,3020472.53012048,6.759255270663693
Hero,tt0104412,6.60425559436037,1.6395174873972,-0.410378342063852,6.58758579528499,1.61532646387474,-0.419194839795404,13404,6.71282798833819,1.78571021796685,-0.398623353271938,2058,19507345,0,4,1,4,0,Col.,1826,3,1992,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.251843228560341,0.0379640408744018,4700565.06024096,7.509883061154913
Hoffa,tt0104427,6.71355657911117,1.55059474502839,-0.468408312891918,6.73605121293801,1.51602871197567,-0.439935388485574,14840,6.44127243066884,1.90000464339028,-0.472414253690323,1226,24276506,0,8,2,10,1,Fox,1066,3,1992,12,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256442176023901,0.0308104070708328,5849760.48192771,6.97166860472579
Home Alone 2: Lost in New York,tt0104431,6.8341536863472,1.81506975378341,-0.329949185102563,6.7599350590782,1.77921956988688,-0.337776545423564,166305,7.11748232485538,1.91967765634779,-0.382364493535374,43564,173585516,0,3,0,1,1,Fox,2222,3,1992,11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320714350380475,0.0411161248207215,41827835.1807229,7.706162970199576
"Honey, I Blew Up the Kid",tt0104437,4.92300082966367,1.88758657739153,0.41896071364417,4.8470102281668,1.82513866677846,0.396309484787647,25420,5.24940858398108,2.10433744621717,0.371793691932283,5918,58662452,0,2,0,0,1,BV,2311,3,1992,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808602974025145,0.203012317314443,14135530.6024096,7.745435610274381
Honeymoon in Vegas,tt0104438,5.88056187073725,1.69332252399486,-0.15170110934972,5.86285430134262,1.6409287957333,-0.196380626404585,10055,5.9593100398054,1.90739786185009,-0.0543119742713756,2261,35208854,0,2,3,5,0,Col.,1637,3,1992,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.133160116921078,0.0768106528093537,8484061.20481928,7.400620577371135
Husbands and Wives,tt0104466,7.55764207205875,1.59422195796515,-1.15950553815904,7.56023624419936,1.57418688876881,-1.16427979436383,16593,7.54599567099567,1.68140194870444,-1.13337794697737,3696,10555619,0,0,3,6,0,TriS,865,3,1992,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.554093351076938,0.0244467445413771,2543522.65060241,6.762729506931879
Jennifer 8,tt0104549,6.33583804809052,1.58291736249072,-0.328081368750332,6.32862966447162,1.56398108428423,-0.328427634924369,9567,6.37535816618911,1.68287727362645,-0.334160709790857,1745,11390479,0,4,4,5,1,Par.,967,3,1992,11,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.186615983026874,0.0452616690240453,2744693.73493976,6.874198495453294
The Last of the Mohicans,tt0104691,7.90321178983959,1.55719076527066,-0.953295018835162,7.87793323204187,1.53327227448434,-0.941116998466284,94776,8.05588835075198,1.68650667219621,-1.05913181092204,15692,75505856,0,9,2,2,1,Fox,1491,3,1992,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643254155049426,0.0149092949994569,18194182.1686747,7.307202314764738
The Lawnmower Man,tt0104692,5.51430823807647,1.93534691092794,-0.0562355875806421,5.51969948458111,1.90437329369648,-0.0602026692043028,22894,5.46445880452343,2.20099815508925,-0.0141091180386683,2476,32100816,0,5,3,2,0,NL,1276,2,1992,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.128813559322034,0.139180134016555,7735136.38554217,7.151485463904735
A League of Their Own,tt0104694,7.39203700644309,1.59474284457792,-0.606883955005114,7.19533918984871,1.5504763965552,-0.649551127919767,49176,7.94772218073189,1.58700389471987,-0.729595867126485,17407,107533928,0,0,2,2,1,Sony,1782,3,1992,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462535482029948,0.0190589189432738,25911789.8795181,7.485491608030754
Leap of Faith,tt0104695,6.26968079063956,1.8161892146024,-0.20365678274082,6.24703023758099,1.77884659710794,-0.190447667215067,7408,6.38996415770609,1.9992573043906,-0.288780705930499,1395,23369283,0,0,2,4,1,Par.,1554,3,1992,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.21435874133818,0.0608883335226627,5631152.53012048,7.348587530927593
Lethal Weapon 3,tt0104714,6.80671312639649,1.52903676817101,-0.37661847194536,6.79479051187848,1.50510744234349,-0.379308286039908,109147,6.92244752757026,1.74018062521746,-0.403759693294865,11244,144731527,0,6,2,7,1,WB,2510,3,1992,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.270767748419732,0.0258324957845686,34875066.7469879,7.828038032125829
Malcolm X,tt0104797,7.75293285764793,1.64379393277465,-1.35416755422773,7.74198057547427,1.63472152482124,-1.36939995099623,55085,7.83741772860944,1.70992497349275,-1.26604209928265,7141,48169910,0,5,2,6,1,WB,1124,3,1992,11,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.616510783273873,0.0255359496030598,11607207.2289157,7.024649030453636
The Mighty Ducks,tt0104868,6.68210608747726,1.78522762890706,-0.256046221889108,6.61616385889928,1.74801379032701,-0.264068091297288,36031,7.00379095586244,1.92464309147209,-0.328293747478332,7386,50752337,0,2,1,2,1,BV,1280,3,1992,10,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279660040997766,0.0428864269756086,12229478.7951807,7.154615356913663
My Cousin Vinny,tt0104952,7.69648771518884,1.44840511244872,-0.668762755153566,7.6794427135383,1.4139953355387,-0.645537232496377,68044,7.79855671917627,1.63577265699479,-0.795121468948302,11363,52929168,0,3,1,6,1,Fox,1227,2,1992,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569786039014193,0.0105406324379463,12754016.3855422,7.112327444710911
Newsies,tt0104990,7.55839628123184,2.24870202813812,-0.828690405489675,6.78225352112676,2.25289921189267,-0.550850319321072,7100,8.38482303539292,1.92683574257857,-1.31925381112789,6668,2819485,0,1,1,0,1,BV,1223,3,1992,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.53362870424172,0.0565804764671703,679393.975903615,7.109062135687172
Of Mice and Men,tt0105046,7.61454046639232,1.45973482979979,-0.845043328977432,7.57136481661798,1.41470792695354,-0.822204233075354,24648,7.81759206258348,1.64012299458672,-1.01287786541912,5241,5471088,0,2,0,2,1,MGM,13,1,1992,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551875271839138,0.0140185352470809,1318334.45783133,2.5649493574615367
Passenger 57,tt0105104,5.91232749623101,1.61401761591219,-0.154127809110124,5.9032693696806,1.59121794534239,-0.162922238680189,31841,6.02112410411166,1.8631295491847,-0.132223271503425,2651,44065653,0,6,2,7,1,WB,1734,3,1992,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.121042560593761,0.0647396497738606,10618229.6385542,7.458186157340487
Pet Sematary II,tt0105128,5.04175088868753,2.18603592087994,0.334776967438664,4.96306359853953,2.13319496919772,0.349502629182529,11777,5.4023346303502,2.38082926567608,0.201892271770195,2570,17092453,0,7,3,5,1,Par.,1852,2,1992,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.122394925768453,0.230152645152297,4118663.37349398,7.524021415206125
Peter's Friends,tt0105130,7.1124763705104,1.72847257583799,-0.819579999908669,6.96549773755656,1.70758234551422,-0.842836426839195,5304,7.48334919124643,1.7257074678201,-0.862761221521904,2102,4058564,0,1,6,6,0,Gold.,45,3,1992,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.410072913853632,0.0382122603294626,977967.228915663,3.8066624897703196
The Player,tt0105151,7.54960538164098,1.70192188483453,-1.14022977776916,7.56899463241059,1.67111853034363,-1.13837199543689,33162,7.40970409051349,1.90386624547127,-1.08600463163685,4596,21706101,0,2,7,5,0,NL,23,3,1992,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568780126065999,0.0299539170506912,5230385.78313253,3.1354942159291497
Raising Cain,tt0105217,6.06786881997424,1.87533878187414,-0.361419805656755,6.05830486057533,1.8506325700296,-0.373621938330599,9073,6.15294117647059,2.08130638951051,-0.305448121792178,1020,21370057,0,4,3,5,1,Uni.,1661,3,1992,8,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.187258495987318,0.0878826909739424,5149411.3253012,7.415175109613295
Reservoir Dogs,tt0105236,8.26130278513993,1.46450416439298,-1.68861443067474,8.28741991692015,1.42926635345763,-1.67178813604242,566443,8.07610165247872,1.68189126357616,-1.65198932593248,79880,2832029,0,9,0,8,0,Mira.,19,3,1992,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.780380707479078,0.0155309342232908,682416.626506024,2.9444389791664403
Scent of a Woman,tt0105323,8.12770729073655,1.43283148767986,-1.0980548401677,8.1260620894311,1.4163881752468,-1.09200268689169,157708,8.13513745704467,1.50485612305386,-1.11798611680345,34920,63095253,0,3,2,8,1,Uni.,20,1,1992,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723477376082397,0.0104398114500488,15203675.4216867,2.995732273553991
Shadows and Fog,tt0105378,6.83448673587082,1.76987143836126,-0.580120634578579,6.79344824302447,1.74484244722281,-0.596385008121018,10501,7.09773976786805,1.90231515703569,-0.58029386916023,1637,2735731,0,5,2,2,0,Orion,288,1,1992,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32254078101829,0.0428406656780359,659212.289156627,5.662960480135946
Single White Female,tt0105414,6.39577221742882,1.57133586784145,-0.400213462466573,6.32341772151899,1.52801615219713,-0.414427428465458,17380,6.61258620689655,1.67606324436757,-0.444412538893898,5800,48017402,1,7,7,5,0,Col.,1744,2,1992,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19106988783434,0.0421052631578947,11570458.313253,7.463936604468925
